CIN,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members,Authorised Capital,Paid up capital,Number of Employees,Listing status,Date of Last Annual General Meeting,Date of Latest Balance Sheet,Charge ID,Creation Date,Modification Date,Closure Date,Assets Under Charge,Amount,Charge Holder
U01400TN2014PTC094830,CAUVERY FARMERS PRODUCER COMPANY LIMITED,Active,RoC-Chennai,94830,Company limited by Shares,Non-govt company,Private,03 February 2014,"6 years, 7 month, 3 days","Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.]Click here to see other companies involved in same activity.",-,"₹3,000,000","₹1,000,000",Login to view,Unlisted,30 September 2018,31 March 2018,NIL,NIL,NIL,NIL,NIL,NIL,NIL
U01403TN2012PTC086124,AKSHYA CASHEW PRODUCER COMPANY LIMITED,Strike Off,RoC-Chennai,86124,Company limited by Shares,Non-govt company,Private,01 June 2012,"8 years, 3 month, 5 days","Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.]Click here to see other companies involved in same activity.",-,"₹500,000","₹100,000",Login to view,Unlisted,N/A,N/A,NIL,NIL,NIL,NIL,NIL,NIL,NIL
U01400TN2012PTC084893,NANNILAM AGRARIAN PRODUCER COMPANY LIMITED,Strike Off,RoC-Chennai,84893,Company limited by Shares,Non-govt company,Private,14 March 2012,"8 years, 5 month, 23 days","Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.]Click here to see other companies involved in same activity.",-,"₹100,000","₹100,000",Login to view,Unlisted,30 September 2014,31 March 2014,NIL,NIL,NIL,NIL,NIL,NIL,NIL
U85190TN2007PTC064760,PACHAIMALAI HERBAL PRODUCER COMPANY LIMITED,Strike Off,RoC-Chennai,64760,Company limited by Shares,Non-govt company,Private,14 September 2007,"12 years, 11 month, 22 days",Human health activitiesClick here to see other companies involved in same activity.,-,"₹1,000,000","₹100,000",Login to view,Unlisted,27 September 2010,31 March 2010,NIL,NIL,NIL,NIL,NIL,NIL,NIL
U05005TN2009PTC072942,PAZHAVERKADU JEEVAJYOTHI FISHERWOMEN LIVELIHOODS AND SERVICES PRODUCER COMPANY LIMITED,Strike Off,RoC-Chennai,72942,Company limited by Shares,Non-govt company,Private,17 September 2009,"10 years, 11 month, 19 days","Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishingClick here to see other companies involved in same activity.",-,"₹100,000","₹100,000",Login to view,Unlisted,29 September 2010,31 March 2010,NIL,NIL,NIL,NIL,NIL,NIL,NIL
U01403TN2009PTC070744,PERIYAKULAM COIR CLUSTER KALANJIAM PRODUCER COMPANY LIMITED,Strike Off,RoC-Chennai,70744,Company limited by Shares,Non-govt company,Private,16 February 2009,"11 years, 6 month, 18 days","Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.]Click here to see other companies involved in same activity.",-,"₹100,000","₹100,000",Login to view,Unlisted,13 September 2012,31 March 2012,NIL,NIL,NIL,NIL,NIL,NIL,NIL
U01403TZ2010PTC016029,REDDIARCHATRAM SUSTAINABLE AGRICULTURE PRODUCER COMPANY LIMITED,Active,RoC-Coimbatore,16029,Company limited by Shares,Non-govt company,Private,28 April 2010,"10 years, 4 month, 8 days","Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.]Click here to see other companies involved in same activity.",-,"₹500,000","₹163,000",Login to view,Unlisted,30 September 2016,31 March 2016,10271215,2011-02-10,-,-,Book debts; Movable property (not being pledge),"600,000",National Bank for Agriculture and Rural Development
U01110TZ2014PTC020178,ODDANCHATRAM MURUNGAI AND VEGETABLES PRODUCER COMPANY LIMITED,Strike Off,RoC-Coimbatore,20178,Company limited by Shares,Non-govt company,Private,21 January 2014,"6 years, 7 month, 16 days",Growing of crops; market gardening; horticultureClick here to see other companies involved in same activity.,-,"₹1,000,000","₹110,000",Login to view,Unlisted,N/A,N/A,NIL,NIL,NIL,NIL,NIL,NIL,NIL
U01409TZ2010PTC015897,TAMILNADU PRECISION FARM PRODUCER COMPAN Y LIMITED,Strike Off,RoC-Coimbatore,15897,Company limited by Shares,Non-govt company,Private,15 March 2010,"10 years, 5 month, 22 days","Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.]Click here to see other companies involved in same activity.",-,"₹500,000","₹100,000",Login to view,Unlisted,N/A,N/A,NIL,NIL,NIL,NIL,NIL,NIL,NIL
U01403TZ2012PTC018691,THIRUVALLUVAR FARMERS PRODUCER COMPANY LIMITED,Active,RoC-Coimbatore,18691,Company limited by Shares,Non-govt company,Private,29 August 2012,"8 years, 0 month, 8 days","Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.]Click here to see other companies involved in same activity.",-,"₹2,500,000","₹1,352,000",Login to view,Unlisted,30 September 2019,31 March 2019,NIL,NIL,NIL,NIL,NIL,NIL,NIL
U74999TZ2014PTC020138,NANO FOAM TECHNOLOGY PRIVATE LIMITED,Strike Off,RoC-Coimbatore,20138,Company limited by Shares,Non-govt company,Private,06 January 2014,"6 years, 8 month, 0 days",Business activities n.e.c.Click here to see other companies involved in same activity.,-,"₹100,000","₹100,000",Login to view,Unlisted,N/A,N/A,NIL,NIL,NIL,NIL,NIL,NIL,NIL
U01403TN2013PTC091326,RAJAPALAYAM PRECISION FARMERS PRODUCER COMPANY LIMITED,Active,RoC-Chennai,91326,Company limited by Shares,Non-govt company,Private,24 May 2013,"7 years, 3 month, 13 days","Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.]Click here to see other companies involved in same activity.",-,"₹2,000,000","₹2,000,000",Login to view,Unlisted,30 September 2019,31 March 2019,NIL,NIL,NIL,NIL,NIL,NIL,NIL
U01400TN2013PTC093390,ASSEFA LIVESTOCK PRODUCER COMPANY LIMITED,Active,RoC-Chennai,93390,Company limited by Shares,Non-govt company,Private,18 October 2013,"6 years, 10 month, 19 days","Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.]Click here to see other companies involved in same activity.",-,"₹1,000,000","₹200,000",Login to view,Unlisted,30 September 2019,31 March 2019,"100152111,100179684,100222421","2018-01-08,2018-05-02,2018-11-23","-,-,-","2018-12-07,2018-12-07,-","LIVESTOCK,LIVESTOCK,LIVESTOCK","1,500,000,1,000,000,5,000,000","SARVA JANA SEVA KOSH LIMITED,SARVA JANA SEVA KOSH LIMITED,SARVA JANA SEVA KOSH LIMITED"
U01403TN2014PTC097270,CAUVERY DELTA AGRO PRODUCER COMPANY LIMITED,Active,RoC-Chennai,97270,Company limited by Shares,Non-govt company,Private,09 September 2014,"5 years, 11 month, 27 days","Agricultural and animal husbandry service activities, except veterinary activities.[This class includes specialized activities, on a fee or contract basis, mostly performed on the farm.]Click here to see other companies involved in same activity.",-,"₹1,000,000","₹1,000,000",Login to view,Unlisted,30 September 2018,31 March 2018,NIL,NIL,NIL,NIL,NIL,NIL,NIL
U01111TZ2014PTC020859,SHARVANI FARMERS PRODUCER COMPANY LIMITED,Active,RoC-Coimbatore,20859,Company limited by Shares,Non-govt company,Private,12 November 2014,"5 years, 9 month, 24 days",Growing of crops; market gardening; horticultureClick here to see other companies involved in same activity.,-,"₹2,500,000","₹1,958,000",Login to view,Unlisted,N/A,N/A,10589602,2015-08-11,-,-,Immovable property or any interest therein,"5,000,000",LAKSHMI VILAS BANK LIMITED
U01100TN2016PTC110550,MALARUM BOOMI PRODUCER COMPANY LIMITED,Active,RoC-Chennai,110550,Company limited by Shares,Non-govt company,Private,24 May 2016,"4 years, 3 month, 13 days",Growing of crops; market gardening; horticultureClick here to see other companies involved in same activity.,-,"₹1,000,000","₹100,000",Login to view,Unlisted,N/A,N/A,NIL,NIL,NIL,NIL,NIL,NIL,NIL
U01120TN2016PTC111255,DAILY FRESH FARMERS PRODUCER COMPANY LIMITED,Active,RoC-Chennai,111255,Company limited by Shares,Non-govt company,Private,04 July 2016,"4 years, 2 month, 2 days",Growing of crops; market gardening; horticultureClick here to see other companies involved in same activity.,-,"₹3,000,000","₹2,016,000",Login to view,Unlisted,29 September 2018,31 March 2018,NIL,NIL,NIL,NIL,NIL,NIL,NIL
